POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104LS,DL10 4LS,DL10 4LS,54.403273,-1.735009,E37000039,,E10000023,E07000166,E05006292
DL104LT,DL10 4LT,DL10 4LT,54.403832,-1.735853,E37000039,,E10000023,E07000166,E05006292
DL104LU,DL10 4LU,DL10 4LU,54.403740,-1.734575,E37000039,,E10000023,E07000166,E05006292
DL104LW,DL10 4LW,DL10 4LW,54.401281,-1.728245,E37000039,,E10000023,E07000166,E05006282
DL104LX,DL10 4LX,DL10 4LX,54.406917,-1.732952,E37000039,,E10000023,E07000166,E05006292
DL104LY,DL10 4LY,DL10 4LY,54.406991,-1.733892,E37000039,,E10000023,E07000166,E05006292
DL104LZ,DL10 4LZ,DL10 4LZ,54.407010,-1.734123,E37000039,,E10000023,E07000166,E05006292
DL104NA,DL10 4NA,DL10 4NA,54.408707,-1.733388,E37000039,,E10000023,E07000166,E05006292
DL104NB,DL10 4NB,DL10 4NB,54.407628,-1.733071,E37000039,,E10000023,E07000166,E05006292
DL104ND,DL10 4ND,DL10 4ND,54.407618,-1.732748,E37000039,,E10000023,E07000166,E05006292
DL104NE,DL10 4NE,DL10 4NE,54.407679,-1.732038,E37000039,,E10000023,E07000166,E05006292
DL104NF,DL10 4NF,DL10 4NF,54.408287,-1.730679,E37000039,,E10000023,E07000166,E05006292
DL104NG,DL10 4NG,DL10 4NG,54.408376,-1.730185,E37000039,,E10000023,E07000166,E05006292
DL104NH,DL10 4NH,DL10 4NH,54.408816,-1.729905,E37000039,,E10000023,E07000166,E05006292
DL104NJ,DL10 4NJ,DL10 4NJ,54.408737,-1.730768,E37000039,,E10000023,E07000166,E05006292
DL104NL,DL10 4NL,DL10 4NL,54.409009,-1.731783,E37000039,,E10000023,E07000166,E05006292
DL104NN,DL10 4NN,DL10 4NN,54.409683,-1.731856,E37000039,,E10000023,E07000166,E05006292
DL104NP,DL10 4NP,DL10 4NP,54.409199,-1.732491,E37000039,,E10000023,E07000166,E05006292
DL104NQ,DL10 4NQ,DL10 4NQ,54.408293,-1.729323,E37000039,,E10000023,E07000166,E05006292
DL104NR,DL10 4NR,DL10 4NR,54.410047,-1.734057,E37000039,,E10000023,E07000166,E05006294
DL104NS,DL10 4NS,DL10 4NS,54.410580,-1.731280,E37000039,,E10000023,E07000166,E05006292
DL104NT,DL10 4NT,DL10 4NT,54.409789,-1.735199,E37000039,,E10000023,E07000166,E05006294
DL104NU,DL10 4NU,DL10 4NU,54.411654,-1.733060,E37000039,,E10000023,E07000166,E05006292
DL104NW,DL10 4NW,DL10 4NW,54.409012,-1.733000,E37000039,,E10000023,E07000166,E05006292
DL104NX,DL10 4NX,DL10 4NX,54.412893,-1.732713,E37000039,,E10000023,E07000166,E05006292
